Id,Section,Name,Price,Total Sold,Total Reviews,Shop Location,Revenue,Review Rate,Price Segment,Location Type
4250602104,Beauty Supplements Value Sets,ส่งด่วน-พร้อมส่ง❗️ของแท้/มีของแถม✅ Saikono Collagen ไซโกโนะบำรุงผิว ผิวเรียบเนียน กระจ่างใสขึ้น ลดการเกิดสิว,179.0,0,0,Kalasin,0.0,0.0,Budget,Rural
3295022909,Beauty Supplements Value Sets,"[ โปรคู่แฝด ] Good skin vitaminC 30 days - กู๊ดสกิน วิตามินซี & กลูต้า ขนาด 100,000 mg. VitaminC & Gluta goota วิตามินเกาหลี วิตามินซีผงชงดื่ม กลูต้าผงชงดื่ม",750.0,88,22,Bangkok,66000.0,0.24719101123595505,Premium,Bangkok
4695638099,Beauty Supplements Value Sets,"เออา คอลลาเจน พลัส 10,000 มิลลิกรัม 1 กล่อง",242.84,33,1,Kalasin,8013.72,0.029411764705882353,Mid-Range,Rural
4596654531,Beauty Supplements Value Sets,แท้ 100% 🧡 YANHEE Callyn Plus ยันฮี คอลลิน พลัส,279.0,537,141,Bangkok,149823.0,0.2620817843866171,Mid-Range,Bangkok
2933585968,Beauty Supplements Value Sets,Somin Vita โซมิน ไวต้า วิตามินผิว 1 กระปุก มี 30 Tablets,195.0,390,34,Bangkok,76050.0,0.08695652173913043,Budget,Bangkok
4614161187,Beauty Supplements Value Sets,Saikono Collagen 1 กล่องไซโกโนะ คอลลาเจน ผิวออร่า ขาวใส ของแท้ ไม่กรีดรหัส,169.0,231,19,Pathum Thani,39039.0,0.08189655172413793,Budget,Rural
4650720896,Beauty Supplements Value Sets,คอลลาเจน บูม 1 กล่อง 14 ซอง,240.0,88,8,Samut Prakan,21120.0,0.0898876404494382,Mid-Range,Rural
2983212627,Beauty Supplements Value Sets,นารีญา NAREEYA ผลิตภัณฑ์เสริมอาหาร นารีญา ตัวช่วยดูแลผู้หญิงทุกวัย ได้จากสารสกัดจากสมุนไพร 100% 1 กระปุก 60 แคปซูล,290.0,0,0,Nonthaburi,0.0,0.0,Mid-Range,Rural
4535876337,Beauty Supplements Value Sets,จี บลิ้งค์ ไวต้า ช็อต ผงวิตามินเข้มข้น 1กระปุก 60g. G Blink Vita Shot,127.0,7,1,Bangkok,889.0,0.125,Budget,Bangkok
2229554370,Beauty Supplements Value Sets,NBL DHA Algae Oil 330 mg,390.0,1807,271,Bangkok,704730.0,0.14988938053097345,Mid-Range,Bangkok
4359427990,Beauty Supplements Value Sets,DHC hyaluron  60 วัน/20วัน  ช่วยให้ผิวนุ่ม เนียน,275.0,37,6,Nonthaburi,10175.0,0.15789473684210525,Mid-Range,Rural
4636763815,Beauty Supplements Value Sets,ZERINA  MARINE COLLAGEN คอลลาเจน จากปลาทะเล 30 แคปซูล,99.0,0,0,Chaiyaphum,0.0,0.0,Budget,Rural
3508140629,Beauty Supplements Value Sets,Medileen Veronika Plus,1950.0,399,62,Bangkok,778050.0,0.155,Luxury,Bangkok
3128591287,Beauty Supplements Value Sets,คอลลาเจนไซโกโนะ Saikono (1กล่องมี 10ซอง) *ไม่กรีดรหัส* ผลิตล่าสุด,159.0,9999,2742,Surat Thani,1589841.0,0.2742,Budget,Rural
4729647988,Beauty Supplements Value Sets,Himalaya Purim ดูแลผิว,79.0,6,0,Bangkok,474.0,0.0,Budget,Bangkok
4315424345,Beauty Supplements Value Sets,DHC X Bestural Collagen Gummy 20days [120g x 40 Tablets]คอลลาเจนแบบเคี้ยว 40 เม็ด,218.0,201,31,Samut Prakan,43818.0,0.15346534653465346,Mid-Range,Rural
4683857444,Beauty Supplements Value Sets,ไซโกโนะ คอลลาเจน & กลูต้าไซโกะ กลูต้าเม็ดซอฟเจล Saikono Collagen plus  &  Saiko Gluta,176.0,21,2,Bangkok,3696.0,0.09090909090909091,Budget,Bangkok
3510583095,Beauty Supplements Value Sets,กลูต้าL-Gluta Armoni Plus,125.0,1891,292,Bangkok,236375.0,0.1543340380549683,Budget,Bangkok
4320698719,Beauty Supplements Value Sets,"คอลลาเจนอิงฟ้า บาย มิสแกรนด์ ของแท้ ปริมาณ 120,000mg",299.0,64,16,Bangkok,19136.0,0.24615384615384617,Mid-Range,Bangkok
4505352797,Beauty Supplements Value Sets,แพ็คคู่สุดคุ้ม วิตามินซี+คอลลาเจน(Fulfill),300.0,162,33,Phichit,48600.0,0.20245398773006135,Mid-Range,Rural
869088956,Beauty Supplements Value Sets,COLLA Zinc Plus C CherChom คอลลา ซิ้งค์ พลัส ซี  เชอชม (1กระป๋อง/50 กรัม),149.0,235,15,Bangkok,35015.0,0.0635593220338983,Budget,Bangkok
